p,d,q,P,D,Q,s,AIC,BIC,converged
5,0,6,1,1,1,24,32158.343337186998,32277.78575976543,True
2,0,6,1,1,1,24,32160.19173190788,32261.717791099545,True
6,0,0,1,1,1,24,32168.321627331738,32257.908617571356,True
0,0,6,1,1,1,24,32169.276788639545,32258.85860557337,True
1,0,5,1,1,1,24,32169.307206107274,32258.894196346893,True
2,0,5,1,1,1,24,32170.39531456485,32265.95477082044,True
6,0,1,1,1,1,24,32171.483605215755,32267.043061471348,True
3,0,5,1,1,1,24,32171.59938544606,32273.131307717627,True
5,0,4,1,1,1,24,32172.895380193364,32280.40597430755,True
1,1,6,1,1,1,24,32173.45722231613,32269.00564028222,True
4,0,4,1,1,1,24,32174.606791410402,32276.144574740465,True
5,0,5,1,1,1,24,32175.47568025672,32288.952534560238,True
4,0,5,1,1,1,24,32175.60008341872,32283.104471706265,True
5,0,3,1,1,1,24,32177.830818880793,32279.368602210856,True
3,0,6,1,1,1,24,32178.032520063753,32285.53070038434,True
1,0,6,1,1,1,24,32180.826322617737,32276.380260680482,True
5,0,1,1,1,1,24,32181.84218603398,32271.434347795803,True
1,0,4,1,1,1,24,32182.20766729799,32265.82701827569,True
2,0,4,1,1,1,24,32182.396082443483,32271.988244205306,True
5,0,0,1,1,1,24,32183.064229693977,32266.683580671677,True
6,0,6,1,1,1,24,32183.665745054546,32309.0802887619,True
0,0,5,1,1,1,24,32188.294449441815,32271.90897366546,True
5,0,2,1,1,1,24,32192.405437587684,32287.970410133625,True
4,0,0,1,1,1,24,32195.74625176722,32273.397272401995,True
1,0,3,1,1,1,24,32195.81674491904,32273.467765553814,True
3,0,3,1,1,1,24,32195.92775239845,32285.525083900113,True
2,0,3,1,1,1,24,32196.32413035581,32279.948306424027,True
4,0,6,1,1,1,24,32196.37244601726,32309.84274746677,True
3,0,4,1,1,1,24,32197.052156262882,32292.617128808823,True
4,0,1,1,1,1,24,32197.388970754662,32281.01314682288,True
6,0,5,1,1,1,24,32202.990040421726,32322.439360741217,True
3,0,1,1,1,1,24,32204.240402215153,32281.895901747474,True
6,0,4,1,1,1,24,32204.72136597171,32318.198220275226,True
3,0,2,1,1,1,24,32206.269616489168,32289.898615985512,True
3,0,0,1,1,1,24,32206.27712340957,32277.959122977867,True
1,0,2,1,1,1,24,32208.055171263353,32279.73717083165,True
2,0,2,1,1,1,24,32208.431026890205,32286.086526422525,True
0,1,5,1,1,1,24,32212.904355865518,32296.51405167042,True
2,0,0,1,1,1,24,32217.028079998236,32282.740368133625,True
2,1,1,1,1,1,24,32217.926813153004,32289.6088127213,True
3,1,1,1,1,1,24,32218.28329122389,32295.934311858662,True
2,0,1,1,1,1,24,32219.154515051872,32290.840647563207,True
0,0,4,1,1,1,24,32222.985783351494,32300.632323545073,True
1,0,1,1,1,1,24,32239.058335496076,32304.770623631466,True
6,1,6,1,1,1,24,32246.365592239206,32371.7728908197,True
4,0,2,1,1,1,24,32252.94475883225,32342.542090333915,True
0,1,4,1,1,1,24,32254.105728915114,32331.747787122782,True
0,0,3,1,1,1,24,32265.774080077288,32337.45194527862,True
1,1,3,1,1,1,24,32274.21450174902,32351.861041942597,True
2,1,3,1,1,1,24,32287.43298484375,32371.05233582145,True
6,1,1,1,1,1,24,32310.887617622488,32406.441555685233,True
3,1,4,1,1,1,24,32318.20863557179,32413.768091827384,True
0,1,3,1,1,1,24,32319.06164224838,32390.735371657836,True
3,1,2,1,1,1,24,32320.518151486074,32404.14232755429,True
4,1,1,1,1,1,24,32330.657270538817,32414.276621516517,True
5,1,5,1,1,1,24,32343.94410717134,32457.41440862085,True
0,0,2,1,1,1,24,32363.061592468504,32428.770092072777,True
5,1,6,1,1,1,24,32370.022015244605,32489.45753770222,True
1,1,1,1,1,1,24,32379.55805557923,32445.2665551835,True
6,0,2,1,1,1,24,32384.721929732903,32486.25385200447,True
1,0,0,1,1,1,24,32387.10510535808,32446.84699205094,True
1,1,5,1,1,1,24,32389.68313897012,32479.264955903942,True
6,1,0,1,1,1,24,32395.042132003313,32484.623948937136,True
0,1,6,1,1,1,24,32398.13381374273,32487.71045558594,True
4,1,5,1,1,1,24,32401.178226556873,32508.67640687746,True
3,1,6,1,1,1,24,32414.53412950167,32522.02609971352,True
5,1,3,1,1,1,24,32416.835662990565,32518.36758526213,True
6,1,3,1,1,1,24,32423.40633179879,32530.904512119378,True
5,1,0,1,1,1,24,32426.95916181397,32510.573686037616,True
3,1,5,1,1,1,24,32438.295508974654,32539.82156816632,True
0,1,2,1,1,1,24,32445.90928514434,32511.613994912223,True
4,1,2,1,1,1,24,32448.27288901535,32537.86505077717,True
6,1,4,1,1,1,24,32456.766418205985,32570.236719655495,True
5,1,2,1,1,1,24,32457.94802408252,32553.507480338114,True
1,1,2,1,1,1,24,32459.487950486837,32531.165815688168,True
4,0,3,1,1,1,24,32462.64806348615,32558.218550421258,True
6,0,3,1,1,1,24,32462.733303113884,32570.237691401428,True
4,1,0,1,1,1,24,32463.251368785946,32540.897908979525,True
5,1,4,1,1,1,24,32465.817698007617,32573.32208629516,True
2,1,5,1,1,1,24,32468.75652762031,32564.310465683055,True
0,1,1,1,1,1,24,32471.56440241931,32531.299402059554,True
5,1,1,1,1,1,24,32485.525018273373,32575.11200851299,True
6,1,2,1,1,1,24,32492.509805353948,32594.035864545614,True
3,1,0,1,1,1,24,32518.630973231055,32590.308838432386,True
3,1,3,1,1,1,24,32519.111098543064,32608.703260304886,True
2,1,4,1,1,1,24,32536.285883438315,32625.872873677934,True
4,1,6,1,1,1,24,32559.41022292325,32672.87396925798,True
2,1,0,1,1,1,24,32567.10101263949,32632.809512243763,True
1,1,4,1,1,1,24,32573.897899013027,32657.512423236672,True
